organisation,competition,season,grade,round date,round,home team,away team,venue,playing surface,game date,game time,game alias
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div  5,13/6/2026,6,JETS U16 Boys Paul,Fierce Wolves U16 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 13,13/6/2026,6,JETS U16 Boys Yoram,Lakers U16 Boys Emerald,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 14,13/6/2026,6,JETS U16 Boys Zack (Black),Lakers U16 Boys Indigo,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U16 Boys Div 10,13/6/2026,6,JETS U16 Boys Zack (Green),JETS U16 Boys Patrick,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  1,13/6/2026,6,JETS U18 Boys Charles,Carnegie Chargers U18 Boys Ben,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  4,13/6/2026,6,JETS U18 Boys Chris,RAPTORS U18 Boys Michael,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  5,13/6/2026,6,JETS U18 Boys Daniel,MM U18 Boys Bulls,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  7,13/6/2026,6,JETS U18 Boys Michael,Howling Wolves U18 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U18 Boys Div  7,13/6/2026,6,JETS U18 Boys Santiago,Lakers U18 Boys Orange,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U8 Mixed YELLOW,13/6/2026,6,JETS U8 Boys Alex,Feisty Wolves U8 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U8 Mixed RED,13/6/2026,6,JETS U8 Boys Max,Vampires Basketball U8 Mixed Count Dunkulas,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  3,13/6/2026,6,Lakers U10 Boys Black,Lakers U10 Boys Green,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  7,13/6/2026,6,Lakers U10 Boys Silver,JETS U10 Boys Lauren & Ryan,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U10 Boys Div  7,13/6/2026,6,Lakers U10 Boys Yellow,Lakers U10 Boys Navy,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  1 (Pool 2),13/6/2026,6,Lakers U12 Boys Aqua,Saints U12 Boys Pistons,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  8,13/6/2026,6,Lakers U12 Boys Gold,Zulu Warriors U12 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  6,13/6/2026,6,Lakers U12 Boys Green,Saints U12 Boys Mavericks,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div 12,13/6/2026,6,Lakers U12 Boys Orange,Vampires Basketball U12 Boys Phoenixes,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U12 Boys Div  4,13/6/2026,6,Lakers U12 Boys Silver,Carnegie Chargers U12 Boys Quinn,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div 13,13/6/2026,6,Lakers U14 Boys Aqua,Knight Wolves U14 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  6,13/6/2026,6,Lakers U14 Boys Blue,JETS U14 Boys Casey,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  1,13/6/2026,6,Lakers U14 Boys Bronze,Carnegie Chargers U14 Boys Beau,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  7,13/6/2026,6,Lakers U14 Boys Burgundy,Grey Wolves U14 Boys,,,13/6/2026,,
McKinnon Basketball Association,'Victorian Oral & Facial Surgeons' Junior Domestic (U8-U20),Winter 2026,Saturday U14 Boys Div  8,13/6/2026,6,Lakers U14 Boys Cobalt,ABA U14 Wolverines Thunder,,,13/6/2026,,
