Grade,Team,Linked_Team1,Linked_Team2,Linked_Team3,Linked_Team4,Linked_Team5,Linked_Team6,Linked_Team7,Linked_Team8,Unavailable_Times
Saturday U12 Boys Div 10,RAPTORS U12 Boys Tom,,,,,,,,,
Saturday U12 Boys Div 11,JETS U12 Boys David,JETS U10 Boys Serge,JETS U10 Boys Jason,,,,,,,
Saturday U12 Boys Div 11,Lakers U12 Boys Black,,,,,,,,,
Saturday U12 Boys Div 11,Lakers U12 Boys Grey,,,,,,,,,
Saturday U12 Boys Div 11,MM U12 Boys Rebels,,,,,,,,,
Saturday U12 Boys Div 11,RAPTORS U12 Boys Paul,,,,,,,,,
Saturday U12 Boys Div 11,Spirit Warriors U12 Boys,Samurai Warriors U14 Boys,Combat Warriors U10 Boys,,,,,,,
Saturday U12 Boys Div 11,White Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div 12,ABA U12 Wolverines Fire,,,,,,,,,
Saturday U12 Boys Div 12,ABA U12 Wolverines Fury,Shadow Wolves U12 Boys,,,,,,,,
Saturday U12 Boys Div 12,Carnegie Chargers U12 Boys Ro,,,,,,,,,
Saturday U12 Boys Div 12,Delta Warriors U12 Boys,,,,,,,,,
Saturday U12 Boys Div 12,Lakers U12 Boys Orange,,,,,,,,,
Saturday U12 Boys Div 12,Lakers U12 Boys Purple,,,,,,,,,
Saturday U12 Boys Div 12,Saints U12 Boys Lightning,,,,,,,,,
Saturday U12 Boys Div 12,Vampires Basketball U12 Boys Phoenixes,Vampires Basketball U12 Boys Blood Ballers,Vampires Basketball U12 Boys Ravens,,,,,,,
Saturday U12 Boys Div 13,Carnegie Chargers U12 Boys Archer,Carnegie Chargers U18 Boys Peter M,,,,,,,,
Saturday U12 Boys Div 13,Giant Wolves U12 Boys,,,,,,,,,
Saturday U12 Boys Div 13,JETS U12 Boys Kev,,,,,,,,,
Saturday U12 Boys Div 13,JETS U12 Boys Nathan,,,,,,,,,
Saturday U12 Boys Div 13,Lakers U12 Boys White,,,,,,,,,
Saturday U12 Boys Div 13,St Kilda Warriors SPIRIT U12 Boys,St Kilda Warriors BRAVE U10 Boys,St Kilda Warriors POWER U10 Boys,St Kilda Warriors BRAVE U12 Boys,St Kilda Warriors POWER U12 Boys,St Kilda Warriors FIERCE U12 Boys,St Kilda Warriors BOLD U12 Boys,St Kilda Warriors STRONG U12 Boys,,<12 pm
Saturday U12 Boys Div 14,ABA U12 Wolverines Raging,,,,,,,,,
Saturday U12 Boys Div 14,MM U12 Boys Knicks,,,,,,,,,
Saturday U12 Boys Div 14,MM U12 Boys Mambas,,,,,,,,,
Saturday U12 Boys Div 14,RAPTORS U12 Boys Ryan,,,,,,,,,
Saturday U14 Boys Div  1,Carnegie Chargers U14 Boys Beau,Carnegie Chargers U16 Boys Allen,Carnegie Chargers U10 Boys Andrew,Carnegie Chargers U12 Boys Andrew,Carnegie Chargers U12 Boys Hudson,,,,,
Saturday U14 Boys Div  1,JETS U14 Boys Benn,,,,,,,,,<1:30 pm
Saturday U14 Boys Div  1,JETS U14 Boys Louie,,,,,,,,,<3 pm
Saturday U14 Boys Div  1,Lakers U14 Boys Bronze,Lakers U16 Boys Amber,,,,,,,,
Saturday U14 Boys Div  1,Lakers U14 Boys Silver,,,,,,,,,
Saturday U14 Boys Div  1,MM U14 Boys Blazers,MM U10 Boys Pistons,MM U14 Boys Spurs,MM U18 Boys Thunder,,,,,,
Saturday U14 Boys Div  2,ABA U14 Wolverines Savage,,,,,,,,,<1:30 pm
Saturday U14 Boys Div  2,Bucks Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div  2,Ice Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div  2,Lakers U14 Boys Crimson,,,,,,,,,<1 pm
Saturday U14 Boys Div  2,Lakers U14 Boys Electric Blue,Lakers U14 Boys Copper,,,,,,,,<12 pm
Saturday U14 Boys Div  2,Saints U14 Boys Phoenix,Saints U12 Boys Pistons,,,,,,,,
Saturday U14 Boys Div  3,Dark Wolves U14 Boys,,,,,,,,,<2 pm
Saturday U14 Boys Div  3,JETS U14 Boys Zac & Russ,,,,,,,,,
Saturday U14 Boys Div  3,Lakers U14 Boys Flame,Lakers U16 Boys Maroon,Lakers U16 Boys Amber,Lakers U16 Boys Navy,,,,,,<1:30 pm
Saturday U14 Boys Div  3,RAPTORS U14 Boys Orange,,,,,,,,,>1:30 pm
Saturday U14 Boys Div  3,Saints U14 Boys Panthers,Saints U12 Boys Pistons,Saints U12 Boys Kings,Saints U16 Boys Storm,,,,,,
Saturday U14 Boys Div  3,St Kilda Warriors BRAVE U14 Boys,St Kilda Warriors POWER U14 Boys,St Kilda Warriors BRAVE U16 Boys,St Kilda Warriors POWER U16 Boys,,,,,,<1:30 pm; >4:30 pm
Saturday U14 Boys Div  3,Wolverines U14 Boys,,,,,,,,,<1:30 pm
Saturday U14 Boys Div  4,Carnegie Chargers U14 Boys Greg,Carnegie Chargers U10 Boys Greg & Darcy,Carnegie Chargers U14 Boys Greg,,,,,,,
Saturday U14 Boys Div  4,Fierce Wolves U14 Boys,Dark Wolves U12 Boys,,,,,,,,
Saturday U14 Boys Div  4,Immortal Warriors U14 Boys,Sonic Warriors U10 Boys,,,,,,,,
Saturday U14 Boys Div  4,Lakers U14 Boys Copper,Lakers U14 Boys Electric Blue,,,,,,,,
Saturday U14 Boys Div  4,Lakers U14 Boys Yellow,,,,,,,,,<1 pm
Saturday U14 Boys Div  4,Maccabi U14 Boys Warriors,,,,,,,,,<2 pm
Saturday U14 Boys Div  4,RAPTORS U14 Boys Jason S,,,,,,,,,
Saturday U14 Boys Div  4,Vampire Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div  5,ABA U14 Wolverines Invaders,,,,,,,,,<1:30 pm
Saturday U14 Boys Div  5,JETS U14 Boys Ben,,,,,,,,,
Saturday U14 Boys Div  5,Lakers U14 Boys Green,,,,,,,,,
Saturday U14 Boys Div  5,Lightning Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div  5,Saints U14 Boys Blazers,Saints U12 Boys Mavericks,,,,,,,,
Saturday U14 Boys Div  5,Saints U14 Boys Tigers,,,,,,,,,
Saturday U14 Boys Div  6,JETS U14 Boys Casey,,,,,,,,,
Saturday U14 Boys Div  6,JETS U14 Boys Cooper,JETS U16 Boys Matt,JETS U16 Boys Lauren,,,,,,,
Saturday U14 Boys Div  6,Lakers U14 Boys Blue,,,,,,,,,
Saturday U14 Boys Div  6,Lakers U14 Boys Maroon,,,,,,,,,
Saturday U14 Boys Div  6,Maccabi U14 Boys Dragons,,,,,,,,,<2 pm
Saturday U14 Boys Div  6,Ninja Wolves U14 Boys,,,,,,,,,<12 pm
Saturday U14 Boys Div  7,ABA U14 Wolverines Flames,,,,,,,,,
Saturday U14 Boys Div  7,Devil Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div  7,Grey Wolves U14 Boys,,,,,,,,,>11:30 am
Saturday U14 Boys Div  7,JETS U14 Boys Paul,,,,,,,,,
Saturday U14 Boys Div  7,Lakers U14 Boys Burgundy,Lakers U12 Boys Silver,,,,,,,,
Saturday U14 Boys Div  7,RAPTORS U14 Boys Jason R Black,RAPTORS U14 Boys Jason R Orange,,,,,,,,
Saturday U14 Boys Div  7,Saints U14 Boys Lions,,,,,,,,,
Saturday U14 Boys Div  7,Thunder Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div  8,ABA U14 Wolverines Thunder,,,,,,,,,
Saturday U14 Boys Div  8,Apollo Warriors U14 Boys,,,,,,,,,
Saturday U14 Boys Div  8,JETS U14 Boys Michael,,,,,,,,,
Saturday U14 Boys Div  8,Lakers U14 Boys Cobalt,,,,,,,,,
Saturday U14 Boys Div  8,MM U14 Boys Spurs,MM U10 Boys Pistons,MM U14 Boys Blazers,MM U18 Boys Thunder,,,,,,
Saturday U14 Boys Div  8,Vampires Basketball U14 Boys King Ballers,,,,,,,,,
Saturday U14 Boys Div  9,Carnegie Chargers U14 Boys Nick,,,,,,,,,
Saturday U14 Boys Div  9,Carnegie Chargers U14 Boys Steve,,,,,,,,,
Saturday U14 Boys Div  9,JETS U14 Boys Piers,,,,,,,,,
Saturday U14 Boys Div  9,Lakers U14 Boys Emerald,,,,,,,,,<1 pm
Saturday U14 Boys Div  9,Lakers U14 Boys Orange,,,,,,,,,
Saturday U14 Boys Div  9,MM U14 Boys Heat,MM U14 Boys Pacers,,,,,,,,
Saturday U14 Boys Div  9,Saints U14 Boys Thunder,,,,,,,,,
Saturday U14 Boys Div  9,Werewolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div 10,JETS U14 Boys Ian,,,,,,,,,
Saturday U14 Boys Div 10,JETS U14 Boys Mark,,,,,,,,,
Saturday U14 Boys Div 10,Lakers U14 Boys Navy,,,,,,,,,
Saturday U14 Boys Div 10,RAPTORS U14 Boys Ali,,,,,,,,,
Saturday U14 Boys Div 10,Saints U14 Boys Clippers,,,,,,,,,<11 am
Saturday U14 Boys Div 10,White Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div 11,Carnegie Chargers U14 Boys Chargerinos,,,,,,,,,
Saturday U14 Boys Div 11,Lakers U14 Boys Red,,,,,,,,,
Saturday U14 Boys Div 11,Lakers U14 Boys Ruby,,,,,,,,,
Saturday U14 Boys Div 11,MM U14 Boys Pacers,MM U10 Boys Clippers,MM U14 Boys Heat,,,,,,,
Saturday U14 Boys Div 11,RAPTORS U14 Boys Jason R Orange,RAPTORS U14 Boys Jason R Black,,,,,,,,
Saturday U14 Boys Div 11,Snow Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div 12,JETS U14 Boys Benji,JETS U16 Boys Jeremey (Black),,,,,,,,
Saturday U14 Boys Div 12,JETS U14 Boys Jeremy,,,,,,,,,
Saturday U14 Boys Div 12,Lakers U14 Boys Gold,,,,,,,,,
Saturday U14 Boys Div 12,Lakers U14 Boys Indigo,,,,,,,,,
Saturday U14 Boys Div 12,RAPTORS U14 Boys Jason C,,,,,,,,,
Saturday U14 Boys Div 12,St Kilda Warriors POWER U14 Boys,St Kilda Warriors BRAVE U14 Boys,St Kilda Warriors BRAVE U16 Boys,St Kilda Warriors POWER U16 Boys,,,,,,>4:30 pm
Saturday U14 Boys Div 13,ABA U14 Wolverines Decimate,Saints U16 Boys Hawks,ABA U12 Wolverines Devils,,,,,,,
Saturday U14 Boys Div 13,Carnegie Chargers U14 Boys Izzy,,,,,,,,,
Saturday U14 Boys Div 13,Carnegie Chargers U14 Boys Pistols,,,,,,,,,
Saturday U14 Boys Div 13,JETS U14 Boys Andrew,,,,,,,,,
Saturday U14 Boys Div 13,Knight Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div 13,Lakers U14 Boys Aqua,,,,,,,,,
Saturday U14 Boys Div 13,RAPTORS U14 Boys Heath/Tim,,,,,,,,,
Saturday U14 Boys Div 13,RAPTORS U14 Boys Wayne,,,,,,,,,
Saturday U14 Boys Div 14,Black Wolves U14 Boys,,,,,,,,,
Saturday U14 Boys Div 14,Lakers U14 Boys Sapphire,,,,,,,,,
Saturday U14 Boys Div 14,Lakers U14 Boys Violet,,,,,,,,,<12 pm
Saturday U14 Boys Div 14,MM U14 Boys Kings,,,,,,,,,
Saturday U14 Boys Div 14,RAPTORS U14 Boys John,,,,,,,,,
Saturday U14 Boys Div 14,Samurai Warriors U14 Boys,Spirit Warriors U12 Boys,,,,,,,,
Saturday U14 Boys Div 15,JETS U14 Boys Asher,JETS U16 Boys Jeremey (Black),,,,,,,,
Saturday U14 Boys Div 15,JETS U14 Boys Lenka,,,,,,,,,
Saturday U14 Boys Div 15,JETS U14 Boys Simon,,,,,,,,,
Saturday U14 Boys Div 15,Lakers U14 Boys Teal,,,,,,,,,
Saturday U14 Boys Div 15,MM U14 Boys Cavs,,,,,,,,,
Saturday U14 Boys Div 15,Saints U14 Boys Jaguars,,,,,,,,,
Saturday U16 Boys Div  1,JETS U16 Boys Chris M,,,,,,,,,<3 pm
Saturday U16 Boys Div  1,JETS U16 Boys Eddie,,,,,,,,,
Saturday U16 Boys Div  1,Lakers U16 Boys Copper,,,,,,,,,
Saturday U16 Boys Div  1,Lakers U16 Boys Crimson,Lakers U18 Boys Flame,JETS U18 Boys Charles,,,,,,,
Saturday U16 Boys Div  1,Lakers U16 Boys Navy,Lakers U14 Boys Flame,Lakers U16 Boys Maroon,Lakers U16 Boys Amber,,,,,,
Saturday U16 Boys Div  1,S.E.T United - Tulip Street Titans,Lakers U18 Boys Flame,,,,,,,,<5 pm
Saturday U16 Boys Div  1,Saints U16 Boys Storm,JETS U12 Boys Darcy,Saints U14 Boys Panthers,,,,,,,
Saturday U16 Boys Div  1,St Kilda Warriors BRAVE U16 Boys,St Kilda Warriors BRAVE U14 Boys,St Kilda Warriors POWER U14 Boys,St Kilda Warriors POWER U16 Boys,,,,,,>4:30 pm
Saturday U16 Boys Div  2,Lakers U16 Boys Flame,Lakers U18 Boys Blue,,,,,,,,
Saturday U16 Boys Div  2,Saints U16 Boys Kings,,,,,,,,,
