Grade,Team,Linked_Team1,Linked_Team2,Linked_Team3,Linked_Team4,Linked_Team5,Linked_Team6,Linked_Team7,Linked_Team8,Unavailable_Times
Sunday U12 Girls Div  7,St Kilda Warriors POWER U12 Girls,St Kilda Warriors BRAVE U12 Girls,St Kilda Warriors FIERCE U12 Girls,St Kilda Warriors BRAVE U14 Girls,St Kilda Warriors POWER U14 Girls,,,,,
Sunday U12 Girls Div  7,U12 Girls Saints - Fire,,,,,,,,,
Sunday U12 Girls Div  8,JETS U12 Girls Ishani,JETS U16 Girls Alan,,,,,,,,
Sunday U12 Girls Div  8,Lakers U12 Girls Cobalt,,,,,,,,,
Sunday U12 Girls Div  8,Lakers U12 Girls Turquoise,,,,,,,,,
Sunday U12 Girls Div  8,Maccabi U12 Girls Dream,,,,,,,,,
Sunday U12 Girls Div  8,St Kilda Warriors FIERCE U12 Girls,St Kilda Warriors BRAVE U12 Girls,St Kilda Warriors POWER U12 Girls,St Kilda Warriors BRAVE U14 Girls,St Kilda Warriors POWER U14 Girls,,,,,
Sunday U12 Girls Div  8,Vampires Basketball U12 Girls Lightning,Vampires Basketball U10 Girls Sparks,,,,,,,,
Sunday U14 Girls Div  1,Carnegie Chargers U14 Girls Mia,Carnegie Chargers U12 Girls Mina,Carnegie Chargers U16 Girls Mia,JETS U14 Girls Mia & Summer,,,,,,
Sunday U14 Girls Div  1,Fire Wolves U14 Girls,,,,,,,,,
Sunday U14 Girls Div  1,JETS U14 Girls Eric,JETS U14 Girls Sophia,JETS U18 Girls Eric,Arctic Wolves U16 Girls,RAPTORS U16 Girls Jon,,,,,
Sunday U14 Girls Div  1,JETS U14 Girls Nadya,,,,,,,,,
Sunday U14 Girls Div  1,JETS U14 Girls Sophia,JETS U14 Girls Eric,JETS U18 Girls Eric,,,,,,,
Sunday U14 Girls Div  1,Mayan Warriors U14 Girls,Falcon Warriors U16 Girls,,,,,,,,
Sunday U14 Girls Div  1,Skuld Warriors U14 Girls,Nyla Warriors U12 Girls,Arctic Wolves U16 Girls,,,,,,,<11 am
Sunday U14 Girls Div  1,St Kilda Warriors BRAVE U14 Girls,St Kilda Warriors BRAVE U12 Girls,St Kilda Warriors POWER U12 Girls,St Kilda Warriors FIERCE U12 Girls,St Kilda Warriors POWER U14 Girls,,,,,<12:45 pm
Sunday U14 Girls Div  1,U14 Girls Saints - Storm,Snow Wolves U8 Girls,U16 Girls Saints - Stars,U16 Girls Saints - Storm,,,,,,
Sunday U14 Girls Div  2,JETS U14 Girls Bernard,Carnegie Chargers U12 Girls Mina,,,,,,,,
Sunday U14 Girls Div  2,JETS U14 Girls Oliver,JETS U16 Girls Oliver,,,,,,,,<1 pm
Sunday U14 Girls Div  2,Maccabi U14 Girls Warriors,Maccabi U12 Girls Warriors,Maccabi U16 Girls Storm,Maccabi U16 Girls Fever,Maccabi U16 Girls Warriors,,,,,
Sunday U14 Girls Div  2,Silver Wolves U14 Girls,,,,,,,,,
Sunday U14 Girls Div  2,St Kilda Warriors POWER U14 Girls,St Kilda Warriors BRAVE U12 Girls,St Kilda Warriors POWER U12 Girls,St Kilda Warriors FIERCE U12 Girls,St Kilda Warriors BRAVE U14 Girls,,,,,<12 pm
Sunday U14 Girls Div  2,U14 Girls Saints - Fever,Carnegie Chargers U12 Girls Mina,U16 Girls Saints - Flames,U16 Girls Saints - Lynx,U16 Girls Saints - Storm,,,,,
Sunday U14 Girls Div  2,Wild Wolves U14 Girls,,,,,,,,,
Sunday U14 Girls Div  3,Bayside Warriors U14 Girls Green,Bayside Warriors U16 Girls Green,,,,,,,,<10:30 am
Sunday U14 Girls Div  3,JETS U14 Girls Andrew,,,,,,,,,
Sunday U14 Girls Div  3,MM U14 Girls Aces,MM U16 Girls Lynx,,,,,,,,
Sunday U14 Girls Div  3,RAPTORS U14 Girls Black,,,,,,,,,
Sunday U14 Girls Div  3,Thunder Wolves U14 Girls,,,,,,,,,
Sunday U14 Girls Div  3,U14 Girls Saints - Dream,,,,,,,,,
Sunday U14 Girls Div  3,U14 Girls Saints - Sky,U12 Girls Saints - Mercury,U16 Girls Saints - Aces,,,,,,,
Sunday U14 Girls Div  3,White Wolves U14 Girls,,,,,,,,,
Sunday U14 Girls Div  4,Azura Warriors U14 Girls,,,,,,,,,
Sunday U14 Girls Div  4,JETS U14 Girls Dmitry,,,,,,,,,
Sunday U14 Girls Div  4,JETS U14 Girls Gavin,Carnegie Chargers U12 Girls Tahlia,,,,,,,,
Sunday U14 Girls Div  4,Lakers U14 Girls Scarlet,Lakers U16 Girls Turquoise,Lakers U16 Girls Yellow,,,,,,,
Sunday U14 Girls Div  4,RAPTORS U14 Girls Mathew,RAPTORS U12 Girls Ananth,RAPTORS U12 Girls Mathew EA,,,,,,,<12:45 pm
Sunday U14 Girls Div  4,Wesley Court Queens,,,,,,,,,<1:30 pm
Sunday U14 Girls Div  5,ABA U14G Wolverines Swift,ABA U12G Wolverines Blaze,,,,,,,,
Sunday U14 Girls Div  5,Carnegie Chargers U14 Girls Michael,Carnegie Chargers U16 Girls Simon,,,,,,,,
Sunday U14 Girls Div  5,JETS U14 Girls Eli,,,,,,,,,
Sunday U14 Girls Div  5,JETS U14 Girls Emilie,,,,,,,,,
Sunday U14 Girls Div  5,Lakers U14 Girls Cobalt,Lakers U12 Girls Gold,,,,,,,,
Sunday U14 Girls Div  5,Lakers U14 Girls Indigo,Lakers U12 Girls Copper,,,,,,,,
Sunday U14 Girls Div  5,Maccabi U14 Girls Dream,,,,,,,,,
Sunday U14 Girls Div  5,MM U14 Girls Dream,MM U18 Girls Tigers,MM U12 Girls Stars,,,,,,,
Sunday U14 Girls Div  5,Olympias Warriors U14 Girls,,,,,,,,,
Sunday U14 Girls Div  6,Athena Warriors U14 Girls,JETS Open Women Jade,,,,,,,,
Sunday U14 Girls Div  6,Huskies U14 Girls,,,,,,,,,
Sunday U14 Girls Div  6,Lakers U14 Girls Orange,,,,,,,,,
Sunday U14 Girls Div  6,RAPTORS U14 Girls Hossein,,,,,,,,,
Sunday U14 Girls Div  6,RAPTORS U14 Girls M&M,RAPTORS U12 Girls Mark,,,,,,,,
Sunday U14 Girls Div  6,St Peter's Magic,,,,,,,,,
Sunday U14 Girls Div  7,ABA U14G Wolverines Fierce,,,,,,,,,<1 pm
Sunday U14 Girls Div  7,JETS U14 Girls Matt,JETS U12 Girls Matt,,,,,,,,
Sunday U14 Girls Div  7,JETS U14 Girls Mia & Summer,JETS U16 Girls Joseph,,,,,,,,
Sunday U14 Girls Div  7,Lakers U14 Girls Red,,,,,,,,,
Sunday U14 Girls Div  7,Luna Wolves U14 Girls,Blue Wolves U12 Girls,Silver Wolves U16 Girls,,,,,,,
Sunday U14 Girls Div  7,Maccabi U14 Girls Fever,Maccabi U16 Girls Mercury,,,,,,,,
Sunday U14 Girls Div  7,Maccabi U14 Girls Liberty,,,,,,,,,
Sunday U14 Girls Div  7,MM U14 Girls Bees,,,,,,,,,
Sunday U16 Girls Div  1,Falcon Warriors U16 Girls,Storm Warriors U18 Girls,Mayan Warriors U14 Girls,,,,,,,
Sunday U16 Girls Div  1,Red Wolves U16 Girls,Vampires Basketball U10 Girls Gems,,,,,,,,
Sunday U16 Girls Div  1,Toorak Trailblazers,,,,,,,,,<1 pm
Sunday U16 Girls Div  1,U16 Girls Saints - Flames,U14 Girls Saints - Fever,U16 Girls Saints - Lynx,,,,,,,
Sunday U16 Girls Div  1,U16 Girls Saints - Stars,Snow Wolves U8 Girls,U14 Girls Saints - Storm,,,,,,,
Sunday U16 Girls Div  1,U16 Girls Saints - Storm,Storm Warriors U18 Girls,U14 Girls Saints - Fever,U14 Girls Saints - Storm,U18 Girls Saints - Saints,,,,,
Sunday U16 Girls Div  1,Warrior Wolves U16 Girls,,,,,,,,,<2 pm
Sunday U16 Girls Div  2,Arctic Wolves U16 Girls,JETS U14 Girls Eric,Skuld Warriors U14 Girls,,,,,,,
Sunday U16 Girls Div  2,Carnegie Chargers U16 Girls Mia,Carnegie Chargers U14 Girls Mia,Carnegie Chargers U18 Girls Aces,JETS U14 Girls Mia & Summer,,,,,,
Sunday U16 Girls Div  2,JETS U16 Girls Joseph,JETS U14 Girls Mia & Summer,JETS U18 Girls Ohad,JETS U18 Girls Eric,,,,,,
Sunday U16 Girls Div  2,JETS U16 Girls Oliver,Storm Warriors U18 Girls,JETS U14 Girls Oliver,JETS U12 Girls Chanya,,,,,,
Sunday U16 Girls Div  2,Lakers U16 Girls Turquoise,Lakers U18 Girls Ruby,Lakers Open Women Violet,Lakers U18 Girls Yellow,Lakers U14 Girls Scarlet,,,,,
Sunday U16 Girls Div  2,Maccabi U16 Girls Warriors,Maccabi U16 Girls Dream,Maccabi U14 Girls Warriors,,,,,,,
Sunday U16 Girls Div  3,Bayside Warriors U16 Girls Green,Bayside Warriors U14 Girls Green,,,,,,,,
Sunday U16 Girls Div  3,Fire Wolves U16 Girls,,,,,,,,,
Sunday U16 Girls Div  3,JETS U16 Girls Alan,JETS U12 Girls Ishani,,,,,,,,
Sunday U16 Girls Div  3,JETS U16 Girls Tom,,,,,,,,,<4 pm
Sunday U16 Girls Div  3,Lakers U16 Girls Silver,,,,,,,,,
Sunday U16 Girls Div  3,Maccabi U16 Girls Dream,Maccabi U16 Girls Warriors,,,,,,,,
Sunday U16 Girls Div  3,RAPTORS U16 Girls Jon,JETS U14 Girls Eric,RAPTORS U18 Girls Michael,,,,,,,
Sunday U16 Girls Div  3,Silver Wolves U16 Girls,Blue Wolves U12 Girls,Luna Wolves U14 Girls,,,,,,,
Sunday U16 Girls Div  3,U16 Girls Saints - Lions,,,,,,,,,
Sunday U16 Girls Div  4,Golden Wolves U16 Girls,,,,,,,,,
Sunday U16 Girls Div  4,Huskies U16 Girls,,,,,,,,,
Sunday U16 Girls Div  4,JETS U16 Girls Phil,,,,,,,,,
Sunday U16 Girls Div  4,Lakers U16 Girls Bronze,,,,,,,,,
Sunday U16 Girls Div  4,Maccabi U16 Girls Storm,Maccabi U12 Girls Warriors,Maccabi U14 Girls Warriors,Maccabi U16 Girls Fever,,,,,,
Sunday U16 Girls Div  4,U16 Girls Saints - Mercury,,,,,,,,,
Sunday U16 Girls Div  5,Carnegie Chargers U16 Girls Simon,Carnegie Chargers U18 Girls Aces,Carnegie Chargers U14 Girls Michael,,,,,,,
Sunday U16 Girls Div  5,JETS U16 Girls Steve,,,,,,,,,
Sunday U16 Girls Div  5,Lakers U16 Girls Yellow,Lakers U14 Girls Scarlet,,,,,,,,
Sunday U16 Girls Div  5,MM U16 Girls Lynx,MM U14 Girls Aces,MM U18 Girls Tigers,,,,,,,
Sunday U16 Girls Div  5,MM U16 Girls Mystics,,,,,,,,,
Sunday U16 Girls Div  5,RAPTORS U16 Girls Daikin,,,,,,,,,<1 pm
Sunday U16 Girls Div  5,U16 Girls Saints - Aces,U14 Girls Saints - Sky,,,,,,,,
Sunday U16 Girls Div  5,Vampires Basketball U16 Girls Shooting Stars,,,,,,,,,
Sunday U16 Girls Div  6,Bayside Warriors U16 Girls Blue,,,,,,,,,
Sunday U16 Girls Div  6,Lakers U16 Girls Blue,,,,,,,,,
Sunday U16 Girls Div  6,Lakers U16 Girls Ruby,,,,,,,,,
Sunday U16 Girls Div  6,Maccabi U16 Girls Fever,Maccabi U12 Girls Warriors,Maccabi U14 Girls Warriors,Maccabi U16 Girls Storm,,,,,,
Sunday U16 Girls Div  6,Maccabi U16 Girls Liberty,,,,,,,,,
Sunday U16 Girls Div  6,Maccabi U16 Girls Mercury,Maccabi U14 Girls Fever,,,,,,,,
Sunday U16 Girls Div  6,RAPTORS U16 Girls Rebecca,,,,,,,,,
Sunday U16 Girls Div  6,U16 Girls Saints - Lynx,U14 Girls Saints - Fever,U16 Girls Saints - Flames,,,,,,,
Sunday U18 Girls Div  1,Airballers,Young-ish,,,,,,,,
Sunday U18 Girls Div  1,JETS U18 Girls Craig,JETS U12 Girls Claire & Emma,,,,,,,,
Sunday U18 Girls Div  1,Lakers U18 Girls Ruby,Lakers U16 Girls Turquoise,Lakers Open Women Violet,,,,,,,
Sunday U18 Girls Div  1,Mighty Wolves U18 Girls,,,,,,,,,
Sunday U18 Girls Div  1,Storm Warriors U18 Girls,Falcon Warriors U16 Girls,JETS U16 Girls Oliver,U16 Girls Saints - Storm,,,,,,
Sunday U18 Girls Div  1,U18 Girls Saints - Saints,U16 Girls Saints - Storm,,,,,,,,
Sunday U18 Girls Div  2,Carnegie Chargers U18 Girls Allen,,,,,,,,,
Sunday U18 Girls Div  2,JETS U18 Girls Ariel,,,,,,,,,
Sunday U18 Girls Div  2,JETS U18 Girls Eric,JETS U14 Girls Sophia,JETS U14 Girls Eric,JETS U16 Girls Joseph,,,,,,
Sunday U18 Girls Div  2,JETS U18 Girls Ohad,JETS U16 Girls Joseph,,,,,,,,
Sunday U18 Girls Div  2,Lakers U18 Girls Yellow,Lakers U16 Girls Turquoise,,,,,,,,
Sunday U18 Girls Div  2,U18 Girls Saints - Panthers,,,,,,,,,
Sunday U18 Girls Div  3,Carnegie Chargers U18 Girls Aces,Carnegie Chargers U16 Girls Mia,Carnegie Chargers U16 Girls Simon,,,,,,,
Sunday U18 Girls Div  3,Lakers U18 Girls Cobalt,,,,,,,,,
Sunday U18 Girls Div  3,Lakers U18 Girls Red,,,,,,,,,
Sunday U18 Girls Div  3,RAPTORS U18 Girls Michael,RAPTORS U16 Girls Jon,,,,,,,,
Sunday U18 Girls Div  3,Snow Wolves U18 Girls,,,,,,,,,
Sunday U18 Girls Div  3,U18 Girls Saints - Flames,,,,,,,,,
Sunday U18 Girls Div  4,Blue Wolves U18 Girls,,,,,,,,,
Sunday U18 Girls Div  4,Lakers U18 Girls Crimson,,,,,,,,,
Sunday U18 Girls Div  4,Maccabi U18 Girls Warriors,,,,,,,,,
Sunday U18 Girls Div  4,MM U18 Girls Pandas,,,,,,,,,
Sunday U18 Girls Div  4,MM U18 Girls Tigers,MM U16 Girls Lynx,MM U14 Girls Dream,,,,,,,
Sunday U18 Girls Div  4,Vampires Basketball U18 Girls Dolphins,,,,,,,,,
Sunday U20 Boys Div  1,Carnegie Chargers U20 Boys Simon,,,,,,,,,
Sunday U20 Boys Div  1,JETS U20 Boys Green,,,,,,,,,
Sunday U20 Boys Div  1,JETS U20 Boys Jeremy,,,,,,,,,
Sunday U20 Boys Div  1,Lakers U20 Boys Burgundy,,,,,,,,,
Sunday U20 Boys Div  2,Black Wolves U20 Boys,,,,,,,,,
Sunday U20 Boys Div  2,Lakers U20 Boys Yellow,,,,,,,,,
Sunday U20 Boys Div  2,MM U20 Boys Lightning,,,,,,,,,
Sunday U20 Boys Div  2,Rim Reapers,,,,,,,,,
Sunday U20 Boys Div  2,Snow Wolves U20 Boys,,,,,,,,,
Sunday U20 Boys Div  2,Viking Warriors U20 Boys,,,,,,,,,
Sunday U20 Boys Div  3,BBB's,,,,,,,,,
Sunday U20 Boys Div  3,JETS U20 Boys Ash,,,,,,,,,
Sunday U20 Boys Div  3,Lakers U20 Boys Crimson,,,,,,,,,
Sunday U20 Boys Div  3,Lakers U20 Boys Red,,,,,,,,,
Sunday U20 Boys Div  3,Lightning Wolves U20 Boys,,,,,,,,,
Sunday U20 Boys Div  3,MSF,Sapphire Wolves U12 Girls,,,,,,,,
Sunday U20 Boys Div  3,Vampires Basketball U20 Boys Warriors,,,,,,,,,
Sunday U20 Boys Div  3,WYLL Wizards,OG Raptors,,,,,,,,<3 pm
Sunday U8 Girls PINK,Lakers U8 Girls Aqua,,,,,,,,,
Sunday U8 Girls PINK,MM U8 Girls Rainbows,MM U10 Girls Jaguars,,,,,,,,
Sunday U8 Girls PINK,MM U8 Girls Spirit,,,,,,,,,
Sunday U8 Girls PINK,St Kilda Warriors BRAVE U8 Girls,,,,,,,,,
Sunday U8 Girls PINK,Star Wolves U8 Girls,,,,,,,,,
Sunday U8 Girls PINK,Thunder Wolves U8 Girls,,,,,,,,,
Sunday U8 Girls PINK,U8 Girls Saints - Dream,,,,,,,,,
Sunday U8 Girls PINK,U8 Girls Saints - Flyers,,,,,,,,,
Sunday U8 Girls PINK,Vampires Basketball U8 Girls Little Legends,,,,,,,,,
Sunday U8 Girls PURPLE,Carnegie Chargers U8 Girls Tom,,,,,,,,,
Sunday U8 Girls PURPLE,JETS U8 Girls Serge,,,,,,,,,
Sunday U8 Girls PURPLE,JETS U8 Girls Sinem,JETS U10 Girls Sinem,,,,,,,,
Sunday U8 Girls PURPLE,Snow Wolves U8 Girls,U14 Girls Saints - Storm,U16 Girls Saints - Stars,,,,,,,
Sunday U8 Girls PURPLE,U8 Girls Saints - Stars,,,,,,,,,
Sunday U8 Girls PURPLE,Vampires Basketball U8 Girls Diamonds,,,,,,,,,
